**Week of**,**Monday**,**Tuesday**,**Wednesday**,**Thursday**,**Friday**,
12-Jan,,Pre-tests,,Lab 1: Charge,,
19-Jan,**NO CLASS**,Lab 2: Coulomb's Law/conductors?,,Lab 2 cont,,FW
26-Jan,,Lab 3: Potential and field,,Lab 3 cont,,FW
2-Feb,,Review,Catch-up,*Exam 1*,,
9-Feb,,Lab 4: Capacitors,,Lab 4 cont,,FW
16-Feb,,Lab 5: Capacitor charge/discharge,,Lab 5 cont,,FW
23-Feb,,Lab 6: Resistor networks,,Lab 6 cont,,FW
2-Mar,,Review,Catch-up,*Exam 2*,,
9-Mar,,Lab 7: Magnetism,,,,FW
16-Mar,**NO CLASS**,**NO CLASS**,**NO CLASS**,**NO CLASS**,**NO CLASS**,
23-Mar,,Lab 8: induction,,Lab 8 cont,,FW
30-Mar,,,,,**NO CLASS**,FW
6-Apr,**NO CLASS**,Lab 9: refraction,,Lab 9 cont,,FW
13-Apr,,** Student Academic Conference **,Catch-up,*Exam 3*,,
20-Apr,,Lab 10: lenses,,Lab 10 cont,,FW
27-Apr,,Lab 12: spectra,,Lab 12 cont,,FW
4-May,,Post-tests/evals,**STUDY DAY**,,,
11-May,"**FINAL May 11, 9AM**",,,,,
